"country","iso","year","round_id","district_id","y_i","psi_i"
"GHA","GHA",2022,2,18,-0.693147180559945,0.1
"GHA","GHA",2022,2,19,-2.21929296843356,0.491982898451404
"GHA","GHA",2022,2,20,-2.50396856035503,0.489206057748753
"GHA","GHA",2022,2,21,-2.84685548448271,0.691556781404302
"GHA","GHA",2022,2,26,-2.08689833670586,0.450206434041837
"GHA","GHA",2022,2,27,-2.18680242357074,0.779089212170825
"GHA","GHA",2022,2,29,0.0710091474970893,0.241624286019968
"GHA","GHA",2022,2,33,-0.693147180559945,0.1
"GHA","GHA",2022,2,35,-1.38629436111989,0.1
"GHA","GHA",2022,2,41,-2.10792483879149,0.726963380564415
"GHA","GHA",2022,2,47,-1.79175946922805,0.1
"GHA","GHA",2022,2,48,-1.76229239525116,0.23359758225715
"GHA","GHA",2022,2,49,-1.95610724143546,0.323542840855325
"GHA","GHA",2022,2,50,-1.55024580738135,0.456047430685832
"GHA","GHA",2022,2,52,-3.31058363543384,0.935306533658175
"GHA","GHA",2022,2,53,-1.73777079236633,0.420480249190978
"GHA","GHA",2022,2,54,-1.47591403723508,0.199131559949861
"GHA","GHA",2022,2,57,-1.71807771015048,0.653038443799721
"GHA","GHA",2022,2,59,-2.19722457733622,0.1
"GHA","GHA",2022,2,62,-0.133669959754023,0.605979539821889
"GHA","GHA",2022,2,65,-2.20886510836943,0.960660768137857
"GHA","GHA",2022,2,67,-1.49923784173279,1.098419270183
"GHA","GHA",2022,2,69,-2.55653255183873,0.561490751424094
"GHA","GHA",2022,2,70,-2.13823268331781,0.228326954824953
"GHA","GHA",2022,2,75,-3.15827677910082,0.946575593310655
"GHA","GHA",2022,2,76,-2.79926259635083,1.02600537569973
"GHA","GHA",2022,2,77,-2.81886436346632,0.715035065746892
"GHA","GHA",2022,2,78,-1.12189714081189,0.4842304553559
"GHA","GHA",2022,2,83,-1.6690053207872,0.397764758208843
"GHA","GHA",2022,2,85,-2.74300379940947,0.601598402751675
"GHA","GHA",2022,2,86,-1.83931265005525,1.10203346877879
"GHA","GHA",2022,2,87,-1.25276296849537,0.1
"GHA","GHA",2022,2,88,-2.40149177471639,0.901800298397934
"GHA","GHA",2022,2,91,-2.76331472113125,0.361249269959936
"GHA","GHA",2022,2,93,-2.75834647525825,0.344489167810755
"GHA","GHA",2022,2,95,-1.6137087570832,0.268528544561978
"GHA","GHA",2022,2,96,0.693147180559945,0.1
"GHA","GHA",2022,2,98,-2.52095865604886,0.887511612872305
"GHA","GHA",2022,2,101,-0.60396652492358,0.461892797746074
"GHA","GHA",2022,2,102,-2.08651544104983,0.322303974306326
"GHA","GHA",2022,2,105,-1.35046799209672,0.681314448599982
"GHA","GHA",2022,2,106,-2.07944154167984,0.1
"GHA","GHA",2022,2,107,-1.86817034509641,0.75912475328793
"GHA","GHA",2022,2,116,-1.16898230806583,0.535469451181069
"GHA","GHA",2022,2,118,-2.70982955726408,0.596999351922281
"GHA","GHA",2022,2,119,-2.56674207130475,0.545487068033915
"GHA","GHA",2022,2,120,-2.10352567969994,0.18567010021936
"GHA","GHA",2022,2,123,-3.5735230164687,0.736438726151475
"GHA","GHA",2022,2,124,-2.39859971771454,0.85551450293035
"GHA","GHA",2022,2,125,-1.25458601164827,0.895698263293927
"GHA","GHA",2022,2,127,-3.29683661905787,0.70541207852289
"GHA","GHA",2022,2,128,-1.10365041201362,0.489946655890613
"GHA","GHA",2022,2,130,-2.44577348258537,0.770247929358106
"GHA","GHA",2022,2,131,-2.05156570903886,0.459393484493353
"GHA","GHA",2022,2,136,-1.51150356188281,0.603693480191264
"GHA","GHA",2022,2,139,-2.29565473398874,0.395739368879298
"GHA","GHA",2022,2,142,-2.72535804912939,0.1
"GHA","GHA",2022,2,143,-0.916220746067332,0.282763529802074
"GHA","GHA",2022,2,145,-1.59581774320691,0.613264776403985
"GHA","GHA",2022,2,146,-1.98870812006181,0.400887854846748
"GHA","GHA",2022,2,150,-1.84190574138231,0.373553376348119
"GHA","GHA",2022,2,155,-1.94591014905531,0.1
"GHA","GHA",2022,2,160,-1.79477308296422,0.841713649212128
"GHA","GHA",2022,2,161,-1.18327083913332,0.228193072133982
"GHA","GHA",2022,2,162,-0.504309485741254,0.499624600505106
"GHA","GHA",2022,2,166,-2.29330102197875,0.103282596895648
"GHA","GHA",2022,2,168,-2.39789527279837,0.1
"GHA","GHA",2022,2,170,-1.6094379124341,0.1
"GHA","GHA",2022,2,172,-2.19722457733622,0.1
"GHA","GHA",2022,2,174,-2.55002289235337,0.530840576838974
"GHA","GHA",2022,2,175,-1.00528549164303,0.436547428188014
"GHA","GHA",2022,2,177,-2.43570107334457,0.307467590584612
"GHA","GHA",2022,2,180,-2.16971330840773,0.728231666289635
"GHA","GHA",2022,2,181,-0.938500813424837,0.255385409112708
"GHA","GHA",2022,2,182,-2.00627167996011,0.331551596234713
"GHA","GHA",2022,2,184,-3.50986596996664,0.444334768694821
"GHA","GHA",2022,2,185,-3.87989944274699,1.09292980907783
"GHA","GHA",2022,2,186,-2.86159626430416,0.936900104399917
"GHA","GHA",2022,2,188,-1.79175946922805,0.1
"GHA","GHA",2022,2,197,-3.74428365016723,1.10234892703406
"GHA","GHA",2022,2,198,-1.73266508806257,0.417508798106819
"GHA","GHA",2022,2,199,-1.94591014905531,0.1
"GHA","GHA",2022,2,200,-2.05110455609809,0.504925244196774
"GHA","GHA",2022,2,201,-1.60227754911728,0.1
"GHA","GHA",2022,2,203,-1.74695694784373,0.142815102008257
"GHA","GHA",2022,2,204,-1.00784243397891,0.657542426030571
"GHA","GHA",2022,2,206,-2.26806434633054,0.539946085970344
"GHA","GHA",2022,2,212,-0.916290731874155,0.1
"GHA","GHA",2022,2,213,-0.133531392624523,0.1
"GHA","GHA",2022,2,214,-1.84463155811108,0.315849530802278
"GHA","GHA",2022,2,215,-0.224582673722795,0.284469722602956
"GHA","GHA",2022,2,217,-1.69920944331974,0.32019068402763
"GHA","GHA",2022,2,218,-3.07394957939855,0.977050803247343
"GHA","GHA",2022,2,219,-2.63905732961526,0.1
"GHA","GHA",2022,2,223,-1.84532271920674,0.347287839225828
"GHA","GHA",2022,2,224,-2.81132386712859,0.67610850722517
"GHA","GHA",2022,2,225,-2.17801998976619,0.918982992837429
"GHA","GHA",2022,2,226,-1.98626379189521,0.460952734063918
"GHA","GHA",2022,2,227,-1.56090818151585,0.418513199772955
"GHA","GHA",2022,2,228,-3.34730111903196,0.4875960874292
"GHA","GHA",2022,2,229,-2.23538798988984,0.309500881087766
"GHA","GHA",2022,2,230,-2.13258008905405,0.751568168407423
"GHA","GHA",2022,2,231,-2.72410042841242,0.80497364627859
"GHA","GHA",2022,2,232,-1.32175583998232,0.1
"GHA","GHA",2022,2,233,-3.30514964063471,0.99742412705436
"GHA","GHA",2022,2,234,-2.18007721452427,0.970564079873627
"GHA","GHA",2022,2,237,-1.37033034377742,0.171308834374196
"GHA","GHA",2022,2,239,-1.56734225464069,0.676705259343673
"GHA","GHA",2022,2,241,-2.24612233353369,0.965305177467368
"GHA","GHA",2022,2,242,-1.63454525256716,0.586724486863434
"GHA","GHA",2022,2,245,-1.68947328997255,0.483259436519025
"GHA","GHA",2022,2,246,-2.56862351282546,0.430237777079247
"GHA","GHA",2022,2,247,-2.16234770816078,0.65630066168415
"GHA","GHA",2022,2,248,-1.84941809215106,0.304024709850657
"GHA","GHA",2022,2,249,-1.80756542329173,1.11819162264718
"GHA","GHA",2022,2,250,-2.40761277255038,0.522962426885522
"GHA","GHA",2022,2,251,-0.599008557208919,0.637306826545679
"GHA","GHA",2022,2,253,-1.91778380575044,0.6092847208373
"GHA","GHA",2022,2,254,-1.51598090238268,0.172009776298093
"GHA","GHA",2022,2,255,-2.57175329191758,0.879735725782156
"GHA","GHA",2022,2,256,-2.47124383363378,0.318395385546238
"GHA","GHA",2022,2,257,-2.97536086512567,0.905564130960949
"GHA","GHA",2022,2,259,-1.75158929279954,0.155183983710906
"GHA","GHA",2022,2,260,-0.606135803570316,0.1
