time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,rainfall_sep_dec,nightlights,temp_sep_dec,elev_std,rainfall_std,ntl_std,temp_std,travel_std,country
1,2014,DHS 2014,13,Ahafo-Ano North,GHA2.7_2,Ashanti,ahafo ano north,596.2397379,228.0140381,228.0541229,77.62138367,78.00143433,342.035614,0.05322725,8.67358017,0.603157609,-0.046842948,-0.579976703,-0.895124659,-0.365095967,GHA
2,2022,DHS 2022,13,Ahafo-Ano North,GHA2.7_2,Ashanti,ahafo ano north,596.2397379,228.0140381,228.0541229,77.62138367,78.00143433,512.7149658,0.267487049,8.726922989,0.603157609,0.469511649,-0.402386879,-0.548277225,-0.365095967,GHA
1,2014,DHS 2014,14,Ahafo-Ano South East,GHA2.8_2,Ashanti,ahafo ano south east,689.2932249,272.5342712,273.496521,103.6937408,103.6414261,347.234436,0.029979499,8.653644562,1.074594062,-0.031115002,-0.601382288,-1.024750625,-0.002434547,GHA
2,2022,DHS 2022,14,Ahafo-Ano South East,GHA2.8_2,Ashanti,ahafo ano south east,689.2932249,272.5342712,273.496521,103.6937408,103.6414261,513.3838501,0.187305093,8.682434082,1.074594062,0.471535218,-0.465059371,-0.837554459,-0.002434547,GHA
1,2014,DHS 2014,15,Ahafo-Ano South West,GHA2.9_2,Ashanti,ahafo ano south west,506.8048794,322.2128601,326.9664917,120.9737167,122.7085495,353.6690369,0.012580154,8.664861679,1.600653699,-0.011648466,-0.617721428,-0.951814315,0.237926558,GHA
2,2022,DHS 2022,15,Ahafo-Ano South West,GHA2.9_2,Ashanti,ahafo ano south west,506.8048794,322.2128601,326.9664917,120.9737167,122.7085495,529.8483276,0.059944481,8.711735725,1.600653699,0.521345043,-0.573879685,-0.647028349,0.237926558,GHA
1,2014,DHS 2014,16,Amansie Central,GHA2.10_2,Ashanti,amansie central,853.5403877,178.8441162,172.7322235,62.51527405,69.16490936,334.3856812,0.047144428,8.727499962,0.082484381,-0.069986217,-0.585531531,-0.544525612,-0.575219016,GHA
2,2022,DHS 2022,16,Amansie Central,GHA2.10_2,Ashanti,amansie central,853.5403877,178.8441162,172.7322235,62.51527405,69.16490936,564.2111206,0.256814152,8.76625061,0.082484381,0.625302469,-0.410496569,-0.292559871,-0.575219016,GHA
1,2014,DHS 2014,17,Amansie South,GHA2.11_2,Ashanti,amansie south,595.6983216,177.0012512,176.7686768,119.9861145,120.602356,337.7502747,0.015994504,8.73896122,0.062969799,-0.059807344,-0.614493097,-0.470001844,0.224189203,GHA
2,2022,DHS 2022,17,Amansie South,GHA2.11_2,Ashanti,amansie south,595.6983216,177.0012512,176.7686768,119.9861145,120.602356,625.4424438,0.32169652,8.790704727,0.062969799,0.810545001,-0.362222938,-0.133553508,0.224189203,GHA
1,2014,DHS 2014,18,Amansie West,GHA2.12_2,Ashanti,amansie west,640.8666585,230.8775024,230.1168518,93.45603943,96.22776031,329.0644226,0.051895231,8.704855919,0.633479586,-0.086084569,-0.581190353,-0.691762454,-0.144838984,GHA
2,2022,DHS 2022,18,Amansie West,GHA2.12_2,Ashanti,amansie west,640.8666585,230.8775024,230.1168518,93.45603943,96.22776031,638.2957153,0.643601298,8.747056007,0.633479586,0.849429879,-0.153180526,-0.41736765,-0.144838984,GHA
1,2014,DHS 2014,19,Asante-Akim Central,GHA2.13_2,Ashanti,asante akim central,301.6786823,221.7102051,225.5786133,96.68191528,96.75023651,342.7670288,0.374871671,8.666998863,0.536404665,-0.044630206,-0.324394871,-0.937917846,-0.099967678,GHA
2,2022,DHS 2022,19,Asante-Akim Central,GHA2.13_2,Ashanti,asante akim central,301.6786823,221.7102051,225.5786133,96.68191528,96.75023651,552.1224365,1.251591563,8.620508194,0.536404665,0.58873069,0.148670684,-1.240211006,-0.099967678,GHA
1,2014,DHS 2014,20,Asante-Akim North,GHA2.14_2,Ashanti,asante akim north,1131.089538,215.7482605,210.9490204,150.1834564,151.7208252,350.1906433,0.021386804,8.680749893,0.473272066,-0.022171617,-0.60941661,-0.848505447,0.644228359,GHA
2,2022,DHS 2022,20,Asante-Akim North,GHA2.14_2,Ashanti,asante akim north,1131.089538,215.7482605,210.9490204,150.1834564,151.7208252,483.0232849,0.15196,8.670324326,0.473272066,0.379685693,-0.494042365,-0.916294916,0.644228359,GHA
1,2014,DHS 2014,21,Asante-Akim South,GHA2.15_2,Ashanti,asante akim south,1158.879729,217.0597687,218.8386688,108.7617264,108.8323212,356.9362183,0.021034785,8.692858696,0.487159971,-0.001764294,-0.609747194,-0.769771191,0.068060146,GHA
2,2022,DHS 2022,21,Asante-Akim South,GHA2.15_2,Ashanti,asante akim south,1158.879729,217.0597687,218.8386688,108.7617264,108.8323212,559.6011353,0.239584237,8.652774811,0.487159971,0.611355925,-0.423735004,-1.030405948,0.068060146,GHA
1,2014,DHS 2014,22,Asokore-Mampong,GHA2.16_2,Ashanti,asokore mampong,24.02750573,270.5222473,271.6413879,54.98640823,55.35892105,318.9343567,11.6693716,8.661875725,1.053288212,-0.116730959,1.805436656,-0.971229686,-0.679944075,GHA
2,2022,DHS 2022,22,Asokore-Mampong,GHA2.16_2,Ashanti,asokore mampong,24.02750573,270.5222473,271.6413879,54.98640823,55.35892105,544.8956299,24.96305084,8.710624695,1.053288212,0.566867501,2.493525577,-0.654252529,-0.679944075,GHA
1,2014,DHS 2014,23,Asokwa,GHA2.17_2,Ashanti,asokwa,26.82653277,245.8348694,245.0314789,54.07610321,54.50312042,329.2520142,11.20913029,8.661874771,0.791867077,-0.08551705,1.769949479,-0.971235887,-0.692606241,GHA
2,2022,DHS 2022,23,Asokwa,GHA2.17_2,Ashanti,asokwa,26.82653277,245.8348694,245.0314789,54.07610321,54.50312042,612.4345093,23.69974327,8.710625648,0.791867077,0.771192222,2.445687852,-0.654246328,-0.692606241,GHA
1,2014,DHS 2014,24,Atwima-Kwanwoma,GHA2.18_2,Ashanti,atwima kwanwoma,252.6821338,238.0833893,237.3687744,55.05104828,65.03966522,338.5812073,1.411558032,8.661874771,0.709784616,-0.057293532,0.214494124,-0.971235887,-0.679044945,GHA
2,2022,DHS 2022,24,Atwima-Kwanwoma,GHA2.18_2,Ashanti,atwima kwanwoma,252.6821338,238.0833893,237.3687744,55.05104828,65.03966522,630.9369507,5.435115814,8.710624695,0.709784616,0.827167479,1.155775394,-0.654252529,-0.679044945,GHA
1,2014,DHS 2014,25,Atwima-Mponua,GHA2.19_2,Ashanti,atwima mponua,1891.514638,246.3188324,249.4351959,132.7832947,137.4940186,361.8994751,0.01817308,8.695610046,0.796991889,0.013250999,-0.612438878,-0.75188127,0.402195492,GHA
2,2022,DHS 2022,25,Atwima-Mponua,GHA2.19_2,Ashanti,atwima mponua,1891.514638,246.3188324,249.4351959,132.7832947,137.4940186,613.4612427,0.068361364,8.748771667,0.796991889,0.774298389,-0.566294257,-0.406212028,0.402195492,GHA
1,2014,DHS 2014,26,Atwima-Nwabiagya North,GHA2.20_2,Ashanti,atwima nwabiagya north,213.8959291,251.885437,247.37883,78.44208527,85.87417603,356.3039856,0.461355031,8.661874771,0.855938128,-0.003676981,-0.265890707,-0.971235887,-0.353680168,GHA
2,2022,DHS 2022,26,Atwima-Nwabiagya North,GHA2.20_2,Ashanti,atwima nwabiagya north,213.8959291,251.885437,247.37883,78.44208527,85.87417603,551.2158203,1.523990393,8.710625648,0.855938128,0.585987913,0.258195144,-0.654246328,-0.353680168,GHA
1,2014,DHS 2014,27,Atwima-Nwabiagya South,GHA2.21_2,Ashanti,atwima nwabiagya south,367.9591432,232.4250793,222.1543884,69.05760193,82.35012817,375.4463196,1.228894353,8.661874771,0.649867285,0.054234137,0.138954145,-0.971235887,-0.484216507,GHA
2,2022,DHS 2022,27,Atwima-Nwabiagya South,GHA2.21_2,Ashanti,atwima nwabiagya south,367.9591432,232.4250793,222.1543884,69.05760193,82.35012817,629.2281494,3.436677456,8.710624695,0.649867285,0.821997859,0.799147973,-0.654252529,-0.484216507,GHA
1,2014,DHS 2014,28,Bekwai,GHA2.22_2,Ashanti,bekwai,537.7718105,229.2403412,229.4004517,48.18505859,49.87415695,318.8096924,0.281706929,8.718229294,0.616143255,-0.117108105,-0.391687512,-0.604805655,-0.774549527,GHA
2,2022,DHS 2022,28,Bekwai,GHA2.22_2,Ashanti,bekwai,537.7718105,229.2403412,229.4004517,48.18505859,49.87415695,597.8260498,1.160916805,8.743288994,0.616143255,0.72699739,0.109250149,-0.441861649,-0.774549527,GHA
1,2014,DHS 2014,29,Bosome Freho,GHA2.23_2,Ashanti,bosome freho,571.471566,262.8572693,252.5936584,86.73074341,86.57174683,350.1026917,0.026592087,8.721636772,0.972121744,-0.022437696,-0.604541546,-0.582649437,-0.238386544,GHA
2,2022,DHS 2022,29,Bosome Freho,GHA2.23_2,Ashanti,bosome freho,571.471566,262.8572693,252.5936584,86.73074341,86.57174683,608.9797363,0.15949136,8.67911911,0.972121744,0.760740531,-0.487792787,-0.859109178,-0.238386544,GHA
1,2014,DHS 2014,30,Bosomtwe,GHA2.24_2,Ashanti,bosomtwe,424.465104,237.9442596,219.5644989,67.23124695,71.91133881,360.1160278,0.707965016,8.660964966,0.708311336,0.007855553,-0.116341578,-0.977151653,-0.509620749,GHA
2,2022,DHS 2022,30,Bosomtwe,GHA2.24_2,Ashanti,bosomtwe,424.465104,237.9442596,219.5644989,67.23124695,71.91133881,648.8908691,2.105138063,8.646701813,0.708311336,0.881483296,0.456921739,-1.069893996,-0.509620749,GHA
1,2014,DHS 2014,31,Ejisu,GHA2.25_2,Ashanti,ejisu,413.2524113,257.1640625,242.5887146,68.33300781,76.11791992,333.4107361,0.892380655,8.660311699,0.911834881,-0.072935708,-0.018009705,-0.981399346,-0.49429547,GHA
2,2022,DHS 2022,31,Ejisu,GHA2.25_2,Ashanti,ejisu,413.2524113,257.1640625,242.5887146,68.33300781,76.11791992,563.413269,3.504630089,8.621482849,0.911834881,0.622888737,0.813725174,-1.233873571,-0.49429547,GHA
1,2014,DHS 2014,32,Ejura-Sekyedumase,GHA2.26_2,Ashanti,ejura sekyedumase,1346.444084,223.7565155,217.5951538,145.4346771,148.6256409,381.0065308,0.033828825,8.728676796,0.558073584,0.07105539,-0.597804815,-0.536873563,0.578173762,GHA
2,2022,DHS 2022,32,Ejura-Sekyedumase,GHA2.26_2,Ashanti,ejura sekyedumase,1346.444084,223.7565155,217.5951538,145.4346771,148.6256409,398.5220947,0.160329148,8.695662498,0.558073584,0.124045057,-0.487100095,-0.751540214,0.578173762,GHA
1,2014,DHS 2014,33,Juaben,GHA2.27_2,Ashanti,juaben,171.9714263,271.3448486,277.3347473,97.93858337,96.41169739,324.3228455,0.140721262,8.653124809,1.061998953,-0.100429216,-0.503444747,-1.028130176,-0.082487669,GHA
2,2022,DHS 2022,33,Juaben,GHA2.27_2,Ashanti,juaben,171.9714263,271.3448486,277.3347473,97.93858337,96.41169739,526.4713135,1.122861743,8.605625153,1.061998953,0.511128595,0.092210628,-1.336984007,-0.082487669,GHA
1,2014,DHS 2014,34,Kumasi,GHA2.28_2,Ashanti,kumasi,21.72023291,266.1792908,266.1066589,49.14202499,49.13141632,306.8588867,23.22914696,8.661874771,1.007299503,-0.153262762,2.427239522,-0.971235887,-0.76123831,GHA
2,2022,DHS 2022,34,Kumasi,GHA2.28_2,Ashanti,kumasi,21.72023291,266.1792908,266.1066589,49.14202499,49.13141632,557.6085815,40.10627365,8.710624695,1.007299503,0.605327871,2.934185074,-0.654252529,-0.76123831,GHA
1,2014,DHS 2014,35,Kwabre East,GHA2.29_2,Ashanti,kwabre east,123.5377808,293.8596497,307.6311035,66.37966919,72.67495728,336.5869446,2.963047266,8.659586906,1.3004141,-0.063326756,0.690881062,-0.986112116,-0.52146603,GHA
2,2022,DHS 2022,35,Kwabre East,GHA2.29_2,Ashanti,kwabre east,123.5377808,293.8596497,307.6311035,66.37966919,72.67495728,547.194519,9.317204475,8.683177948,1.3004141,0.573822309,1.608477052,-0.832717669,-0.52146603,GHA
1,2014,DHS 2014,36,Kwadaso,GHA2.30_2,Ashanti,kwadaso,64.36058273,248.6877289,246.9894867,50.59440231,50.92808914,338.3121338,12.50658894,8.661875725,0.822076756,-0.058107557,1.866804979,-0.971229686,-0.741036024,GHA
2,2022,DHS 2022,36,Kwadaso,GHA2.30_2,Ashanti,kwadaso,64.36058273,248.6877289,246.9894867,50.59440231,50.92808914,613.6276245,25.68154907,8.710625648,0.822076756,0.774801742,2.519704957,-0.654246328,-0.741036024,GHA
1,2014,DHS 2014,37,Mampong,GHA2.31_2,Ashanti,mampong,673.3540085,312.3288269,292.0931396,138.0154419,145.1741943,345.2501221,0.091712348,8.743433952,1.495989074,-0.037118128,-0.545558779,-0.440919095,0.474973642,GHA
2,2022,DHS 2022,37,Mampong,GHA2.31_2,Ashanti,mampong,673.3540085,312.3288269,292.0931396,138.0154419,145.1741943,412.2213745,0.481115878,8.694244385,1.495989074,0.165489356,-0.253009385,-0.76076112,0.474973642,GHA
1,2014,DHS 2014,38,Obuasi,GHA2.32_2,Ashanti,obuasi,146.3689351,219.8722687,214.1681671,7.289840221,7.926630497,298.6266785,3.32879734,8.727499962,0.516942273,-0.178167583,0.775540559,-0.544525612,-1.343394065,GHA
2,2022,DHS 2022,38,Obuasi,GHA2.32_2,Ashanti,obuasi,146.3689351,219.8722687,214.1681671,7.289840221,7.926630497,493.1690063,4.955258846,8.76625061,0.516942273,0.410379446,1.081455487,-0.292559871,-1.343394065,GHA
1,2014,DHS 2014,39,Obuasi East,GHA2.33_2,Ashanti,obuasi east,75.34026892,180.1160126,181.0862427,13.73340034,14.31301022,309.2045593,0.849817693,8.727499962,0.095952826,-0.146166422,-0.039826165,-0.544525612,-1.253765396,GHA
2,2022,DHS 2022,39,Obuasi East,GHA2.33_2,Ashanti,obuasi east,75.34026892,180.1160126,181.0862427,13.73340034,14.31301022,507.5805664,2.306451082,8.766249657,0.095952826,0.4539786,0.517165138,-0.292566072,-1.253765396,GHA
1,2014,DHS 2014,40,Offinso,GHA2.34_2,Ashanti,offinso,588.367899,301.8493652,314.8317566,75.96795654,76.42099762,364.0352783,0.130314171,8.631457329,1.385019299,0.019712424,-0.512234344,-1.169017181,-0.388094817,GHA
2,2022,DHS 2022,40,Offinso,GHA2.34_2,Ashanti,offinso,588.367899,301.8493652,314.8317566,75.96795654,76.42099762,476.3155823,0.639680147,8.611074448,1.385019299,0.359392945,-0.155471215,-1.301551421,-0.388094817,GHA
