GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2014,2014,2014,AFR,Africa,GHA,Ghana,,,,51.29523317,51.30 [49.28-53.63],49.28027981,53.62757221
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2023,2023,2023,AFR,Africa,GHA,Ghana,,,,5693888.0,5 693 888,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2000,2000,2000,AFR,Africa,GHA,Ghana,,,,100.5444443,100.54 [96.67-104.80],96.66912409,104.7966025
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2011,2011,2011,AFR,Africa,GHA,Ghana,,,,65.77099874,65.77 [63.14-68.69],63.1421515,68.68725639
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2020,2020,2020,AFR,Africa,GHA,Ghana,,,,35.47123605,35.47 [33.47-38.17],33.47352902,38.17140588
MALARIA_MICR_TEST,Number of malaria suspects examined by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-suspects-examined-by-microscopy,2023,2023,2023,AFR,Africa,GHA,Ghana,,,,3595100.0,3 595 100,,
MALARIA_INDIG,Number of indigenous malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-malaria-cases,2015,2015,2015,AFR,Africa,GHA,Ghana,,,,5657096.0,5 657 096,,
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2018,2018,2018,AFR,Africa,GHA,Ghana,,,,4931454.0,4 931 454,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,1550201.0,1 550 201,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,41.87453914,41.87 [40.20-43.87],40.19519742,43.86726715
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2003,2003,2003,AFR,Africa,GHA,Ghana,,,,365.9793381,365.98 [289.47-455.47],289.4664902,455.4667107
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2001,2001,2001,AFR,Africa,GHA,Ghana,,,,411.1750404,411.18 [320.18-520.61],320.176779,520.6054346
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2015,2015,2015,AFR,Africa,GHA,Ghana,,,,275.9898421,275.99 [216.12-347.18],216.12485,347.1758308
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2017,2017,2017,AFR,Africa,GHA,Ghana,,,,13472089.0,13 472 089,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2021,2021,2021,AFR,Africa,GHA,Ghana,,,,1327675.0,1 327 675,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2017,2017,2017,AFR,Africa,GHA,Ghana,,,,1089799.0,1 089 799,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,11977117.0,11 977 117,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,11880003.0,11 880 003,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2010,2010,2010,AFR,Africa,GHA,Ghana,,,,366.4042865,366.40 [299.40-442.18],299.3956142,442.1780551
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2005,2005,2005,AFR,Africa,GHA,Ghana,,,,66.11746806,66.12 [63.88-68.57],63.87687745,68.57187249
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2004,2004,2004,AFR,Africa,GHA,Ghana,,,,340.2108385,340.21 [270.23-421.71],270.2306782,421.7074095
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,6075297.0,6 075 297,,
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2017,2017,2017,AFR,Africa,GHA,Ghana,,,,7003155.0,7 003 155,,
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-number-of-malaria-cases-presumed-confirmed-cases,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,6703687.0,6 703 687,,
MALARIA_PF_INDIG,Number of indigenous P. falciparum malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-indigenous-p.-falciparum-malaria-cases,2018,2018,2018,AFR,Africa,GHA,Ghana,,,,4808163.0,4 808 163,,
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,3975007.0,3 975 007,,
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,396518.0,396 518,,
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2018,2018,2018,AFR,Africa,GHA,Ghana,,,,3826106.0,3 826 106,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2018,2018,2018,AFR,Africa,GHA,Ghana,,,,212.7630234,212.76 [162.36-273.66],162.3576299,273.6587054
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,15742112.0,15 742 112,,
MALARIA_CONF_CASES,Number of confirmed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-confirmed-malaria-cases,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,6115267.0,6 115 267,,
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2015,2015,2015,AFR,Africa,GHA,Ghana,,,,6021210.0,6 021 210,,
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2024,2024,2024,AFR,Africa,GHA,Ghana,,,,33.79574294,33.80 [31.84-36.62],31.83800072,36.61624241
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2013,2013,2013,AFR,Africa,GHA,Ghana,,,,344.3307489,344.33 [280.49-420.26],280.4884493,420.2636214
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2019,2019,2019,AFR,Africa,GHA,Ghana,,,,1160426.0,1 160 426,,
MALARIA_PRES_CASES,Number of presumed malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-presumed-malaria-cases,2022,2022,2022,AFR,Africa,GHA,Ghana,,,,217352.0,217 352,,
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-rapid-diagnostic-test-rdt,2016,2016,2016,AFR,Africa,GHA,Ghana,,,,4239967.0,4 239 967,,
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-malaria-positive-cases-by-microscopy,2020,2020,2020,AFR,Africa,GHA,Ghana,,,,1401009.0,1 401 009,,
MALARIA_SUSPECTS,Number of suspected malaria cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-suspected-malaria-cases,2018,2018,2018,AFR,Africa,GHA,Ghana,,,,15542218.0,15 542 218,,
MALARIA_EST_INCIDENCE,Estimated malaria incidence (per 1000 population at risk),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/malaria-incidence-%28per-1-000-population-at-risk%29,2008,2008,2008,AFR,Africa,GHA,Ghana,,,,314.5808655,314.58 [247.31-392.75],247.312894,392.7509509
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/estimated-malaria-mortality-rate-per-100-000-population,2023,2023,2023,AFR,Africa,GHA,Ghana,,,,33.92929199,33.93 [31.94-36.80],31.94041514,36.80310066
