country,district_id,district_name,time,year,label,elev_std,rainfall_std,ntl_std,temp_std,travel_std,pop_dens_std,poverty_std
GHA,1,Asunafo North,1,2014,DHS 2014,0.6389953942996531,-0.10087098921373935,-0.6004585634415182,-0.6625680867149131,0.2639549572582641,-0.45926404136453486,-0.10297798518856105
GHA,1,Asunafo North,2,2022,DHS 2022,0.6389953942996531,0.4268231842389682,-0.4889394037720091,-0.13759036720884202,0.2639549572582641,-0.45926404136453486,-0.10297798518856105
GHA,2,Asunafo South,1,2014,DHS 2014,0.4112162952533416,-0.029308118816425765,-0.6140561175276554,-0.6937839837146008,-0.04261126545500915,-0.507020685381197,-0.11040702962502774
GHA,2,Asunafo South,2,2022,DHS 2022,0.4112162952533416,0.6540521446699288,-0.5512663290404407,-0.2560235052297073,-0.04261126545500915,-0.507020685381197,-0.11040702962502774
GHA,3,Asutifi North,1,2014,DHS 2014,0.9087385494680009,-0.1192816093497295,-0.4134185039874036,-1.3048503599641492,-0.03699584969373669,-0.653334444466144,-0.32584931828256186
GHA,3,Asutifi North,2,2022,DHS 2022,0.9087385494680009,0.4326968711437267,-0.2726991819729018,-0.6353208377247209,-0.03699584969373669,-0.653334444466144,-0.32584931828256186
GHA,4,Asutifi South,1,2014,DHS 2014,0.32018312160749207,-0.09869831593600152,-0.5775439041205405,-0.8578689758696936,-0.38066551511585095,-0.42742327146819276,-0.07326180744269427
GHA,4,Asutifi South,2,2022,DHS 2022,0.32018312160749207,0.45051089013575973,-0.3486806042751714,-0.5108231094643454,-0.38066551511585095,-0.42742327146819276,-0.07326180744269427
GHA,5,Tano North,1,2014,DHS 2014,1.0668011181517982,-0.05977752341785472,-0.5815433642268588,-1.5641146932094696,-0.6541550101126024,-0.4313355533511506,-0.44471402926602854
GHA,5,Tano North,2,2022,DHS 2022,1.0668011181517982,0.2979598299066798,-0.4036858205848866,-0.8166260416335149,-0.6541550101126024,-0.4313355533511506,-0.44471402926602854
GHA,6,Tano South,1,2014,DHS 2014,1.3460783753595085,-0.016401702796875247,-0.5685465878734226,-1.4068136087456082,-0.4796053042957213,-0.14128552074166287,-0.2887040961002284
GHA,6,Tano South,2,2022,DHS 2022,1.3460783753595085,0.27867932800368816,-0.3396372510938414,-1.1638517374017934,-0.4796053042957213,-0.14128552074166287,-0.2887040961002284
