"district_code","elevation_std","rainfall_std","travel_time_std","poverty_std","literacy_rate_std","pop_density_std"
"GHA1.1_2",0.667372931501537,0.299323230271552,0.25609993128984,-0.102878729276159,0.199159973679802,-0.455096269421887
"GHA1.2_2",0.477905768905112,0.774606091572381,0.00584336044092107,-0.110300613186204,0.0293607298536257,-0.502965431591865
"GHA1.3_2",0.941209561466428,-0.0326910911974428,-0.0529523197754694,-0.325535246577502,0.251374610715304,-0.64986459188084
"GHA1.4_2",0.34684470496901,0.276911816351779,-0.387239059065655,-0.0731911936359798,-0.00327169630677693,-0.423199467825551
"GHA1.5_2",1.1029779650083,-0.0596986876329318,-0.670332654541658,-0.444285389138219,0.390580493147851,-0.427117848577282
"GHA1.6_2",1.37616359726666,0.0621259066766348,-0.511844895054495,-0.288425827027279,0.100234949785363,-0.137121920913163
"GHA2.1_2",-0.113070936528337,0.849627633228587,-0.3424730731327,0.698684733008677,-0.0356933475337018,-0.587990058850564
"GHA2.2_2",0.18912400929097,0.839593474309056,-0.56213030818903,0.357278073146618,0.0831875027181209,-0.381344644973423
"GHA2.3_2",1.0160487845338,0.686585148766805,-1.06151505040983,-0.58530118342907,0.734055258807138,-0.0329609079560403
"GHA2.4_2",-0.43088768782618,1.06086974293312,-0.340909653017087,0.550247054807782,0.152385400009605,-0.427152126042816
"GHA2.5_2",1.41990109627696,0.270392585184027,-0.336933049468915,-0.177097568376607,0.318189998211964,0.36099201326901
"GHA2.6_2",1.17130918622458,0.500726487566908,-0.482484213512133,-1.08256740540207,1.01230493495252,0.978629510635969
"GHA2.7_2",0.634430966140022,0.237059364480697,-0.386291090967576,-0.0806130775460246,0.273945690348007,-0.218547813128524
"GHA2.8_2",1.12463190996048,0.365392434019131,-0.0294961343440544,0.312746769686349,-0.214472589143863,-0.547648645188865
"GHA2.9_2",1.70142871684564,0.383517889344684,0.235833649484237,0.320168653596394,-0.143827770518923,-0.332247090729423
"GHA2.10_2",0.0376568420242506,0.653423459302325,-0.509256323191201,0.075246484564916,0.0119694568965873,-0.441634951755419
"GHA2.11_2",0.0811992886243818,0.743843539827543,0.20652477759938,0.201418511035677,-0.0513291060441555,-0.09310789161119
"GHA2.12_2",0.656682248810788,0.603883866892399,-0.132661477915714,0.25337169840599,0.138554343416705,-0.141919212841585
"GHA2.13_2",0.60772689227904,0.496349952645243,-0.125390926688634,-0.793113932910324,0.789165339057709,0.201804038645729
"GHA2.14_2",0.449913032125184,0.252744353883692,0.639555840396921,-0.117722497096249,0.363523844972011,-0.673675598385655
"GHA2.15_2",0.535021065033281,0.759962163832941,0.0427381004570261,-0.221628871836876,0.241140337645116,-0.455228824046218
"GHA2.16_2",1.10462002647996,0.619205418781527,-0.701374442685993,-1.20873943187283,0.660197769983842,2.25201615637062
"GHA2.17_2",0.817570858991994,0.721449109403931,-0.713283391449979,-1.57983362737507,1.20665352821199,1.91863327289444
"GHA2.18_2",0.734910939583098,0.569335225095186,-0.566661423706769,-1.02319233412171,1.01014886644947,0.903512501541691
"GHA2.19_2",0.865075091634769,0.688756150115218,0.441581796345093,-0.184519452286652,-0.00984676840618663,-0.619794533161053
"GHA2.20_2",0.842892447660243,0.481400898221481,-0.276737446826579,-1.04545798585185,0.872297665066325,0.747406890800575
"GHA2.21_2",0.570788739023906,0.565080402113524,-0.325776561663058,-1.11967682495229,0.998469465767158,0.434108911724877
"GHA2.22_2",0.648954222939247,0.525829150615849,-0.777698030767217,-0.607566835159204,0.743798946470481,0.0955463781499264
"GHA2.23_2",0.899146385761026,0.829786322455103,-0.267030355422892,0.275637350136125,0.0472613647715749,-0.442060045258546
"GHA2.24_2",0.542850814440255,0.426359360021404,-0.471038207394768,-0.852489004190682,0.992983450954154,0.357055822505562
"GHA2.25_2",0.791220019082537,0.468561135385553,-0.412501256990001,-1.04545798585185,0.933294801874814,0.430307144705624
"GHA2.26_2",0.521606891052425,-0.059895125043075,0.596484603567969,-0.191941336196696,-0.47823781347452,-0.481878271600152
"GHA2.27_2",1.16603602250103,0.36918871434311,-0.130101889665008,-0.496238576508533,0.474968934702616,0.328332216004437
"GHA2.28_2",1.04491522443037,0.821361591798757,-0.788033685827312,-1.38686464571391,1.20773518790793,2.84352122515428
"GHA2.29_2",1.49285201432385,0.508283383785935,-0.460412025407021,-1.26069261924315,1.05118915456555,1.49966250618266
"GHA2.30_2",0.838692483695638,0.7066506378347,-0.763031969501235,-1.34233334225364,1.35527453412184,1.49922459408816
"GHA2.31_2",1.3252392810976,0.0480469487796235,0.548455777052838,-0.377488433947816,0.566681335435253,-0.151025397163092
"GHA2.32_2",0.484638945184159,0.723461036077272,-1.36142153665628,-1.22358319969292,1.11091662038491,0.736745925926354
"GHA2.33_2",0.127774182948291,0.695451439019438,-1.27255145838004,-1.07514552149203,0.906932620494477,1.07758526017894
"GHA2.34_2",1.57052764526624,0.257796814648904,-0.408283759736641,-0.303269594847368,0.275450068466549,0.0359362903179372
"GHA2.35_2",1.61604645835497,-0.00818453229919001,-0.340737768108275,0.498293867437468,-0.55582283187237,-0.577406732423134
"GHA2.36_2",0.963806342035049,0.634205426882061,-0.691324855472652,-1.30522392270341,1.26556406081599,1.91789714477568
"GHA2.37_2",1.18556430768526,0.715822621163546,-0.707964408169238,-1.36459899398377,1.14100808367167,1.80561343605449
"GHA2.38_2",-0.361933286504478,0.160423866034778,2.37473219001732,1.70063906086472,-1.55852415733576,-1.98123675533012
"GHA2.39_2",0.274203730794382,-0.000369494851248308,1.40075288352055,0.906497482489931,-0.258822622414471,-1.00148185421602
"GHA2.40_2",1.05475705878417,0.329292672614447,0.0125538789284624,-0.763426397270145,0.775779936666291,0.216913323634388
"GHA2.41_2",1.59735533482319,0.175321973593107,0.575328002524994,-0.273582059207189,0.577049981407316,-0.429452628658483
"GHA2.42_2",1.69454542428129,0.270856223339817,-0.103637983747697,-0.370066550037771,0.748071992650022,0.165389654502225
"GHA2.43_2",0.925472535491979,0.742753793822754,-0.702047702815231,-1.401708413534,1.22476715900617,1.95230440723863
"GHA3.1_2",0.513306711444368,-0.760484334567632,1.75021836611707,0.602200242178096,-0.782221191904889,-1.81579473275887
"GHA3.2_2",1.29269367540166,-0.459468064744049,-0.377502665478624,-1.11225494104225,0.958816153852944,0.0246888437783575
"GHA3.3_2",1.55362046943192,-0.399964512532037,-0.398044026838726,-0.948973495021264,0.442351392073343,-0.367272217923213
"GHA3.4_2",1.09244052602546,-0.21910962659674,0.648936998094583,-0.874754655920816,0.474902844055337,-0.542904669342522
"GHA3.5_2",1.21416705647541,-0.263731488934383,-0.373784897883315,-0.600144951249159,0.32864753828514,-0.38856890394956
"GHA3.6_2",0.617970682536617,0.0127368997298375,0.653987590362676,-0.325535246577502,-0.0722417869829333,-0.354262319622582
"GHA3.7_2",1.4895329960968,-0.644290193096764,0.710843593442556,-0.971239146751399,0.185118683809874,-0.421586269805927
"GHA3.8_2",1.31154940012346,-0.523605728308894,0.0860258124737918,-0.889598423740906,0.199302587159507,-0.263598477328592
"GHA3.9_2",1.09259393433457,-0.206240996469337,-0.963886545550794,-1.23842696751301,0.969604417539241,0.342880196418831
"GHA3.10_2",1.11792309465756,-0.370303029702451,-0.896169571430764,-0.74116074554001,0.575539213186817,-0.341544414590773
"GHA3.11_2",0.790777077280188,-0.544691897337759,-0.0762532885690311,-0.451707273048264,-0.463472284424692,-0.786894204619143
"GHA3.12_2",0.781023962967805,-0.391481473364899,-0.643133168271839,-0.295847710937323,-0.302658180799066,-0.444739941423112
