district_name,district_code,region,name_clean,area_km2,elev_mean,elev_median,elev_sd,precip_mean,travel_time_mean,travel_time_median,poverty_H,mpi_index,literacy_rate,illiteracy_prop,pop_under5,pop_total,prop_under5,pop_density
Sekyere Kumawu,GHA2.41_2,Ashanti,sekyere kumawu,579.3330579236442,317.3187255859375,317.0943978203692,82.56240082,1264.100830078125,147.10528564453125,135.6507481154923,0.239,0.1,0.76056776,0.23943224012730702,7998,64396,0.1242002608857693,111.15540382038299
Sekyere South,GHA2.42_2,Ashanti,sekyere south,418.74968065767337,326.3283996582031,313.1142320784164,46.43141555786133,1284.701172,98.313446044921875,97.05163983228262,0.226,0.1,0.7921193132460738,0.20788068675392624,14397,120076,0.11989906392618009,286.74887539355944
Suame,GHA2.43_2,Ashanti,suame,27.58015174306825,255.0341339111328,252.65752185001085,16.915082931518555,1386.4578857421875,55.31053924560547,53.913220535237926,0.087,0,0.8800639749544859,0.11993602504551415,14958,136290,0.10975126568346907,4941.597177
Banda,GHA3.1_2,Bono,banda,2307.8339328576512,216.82571411132813,217.12783660473653,55.00654602050781,1062.310059,231.5352325439453,188.60047161506267,0.35700000000000004,0.2,0.5097981866042702,0.49020181339572977,3535,28179,0.12544802867383512,12.210150652004517
Berekum East,GHA3.2_2,Bono,berekum east,463.64568903064105,289.07611083984375,290.1769750160725,28.599611282348633,1127.2191162109375,78.63298797607422,70.14842897884702,0.126,0.1,0.8309991368148468,0.16900086318515317,11116,106252,0.10461920716786507,229.16637103246765
Berekum West,GHA3.3_2,Bono,berekum west,403.0287716,313.2644348144531,315.15366990540275,22.40000343322754,1140.050048828125,77.15684509277344,74.86048991789833,0.14800000000000002,0.1,0.7357174516527866,0.26428254834721343,5433,49464,0.10983745754488113,122.73069190222937
Dormaa,GHA3.4_2,Bono,dormaa central,1214.7823261976707,270.5123291015625,269.6468204771681,29.779232025146484,1179.04834,152.3949737548828,130.3154288412401,0.158,0.1,0.7417228123837474,0.2582771876162526,12938,112702,0.11479831768735249,92.77546896221554
Dormaa East,GHA3.5_2,Bono,dormaa east,572.3284887236911,281.79656982421875,283.2411406,25.360584259033203,1169.4263916015625,78.90015411376953,78.18817473173222,0.195,0.1,0.7147404255319149,0.28525957446808514,7513,67899,0.1106496413791072,118.63641481733107
Dormaa West,GHA3.6_2,Bono,dormaa west,382.38305470240545,226.52822875976563,226.73198951313586,21.88629150390625,1229.0421142578125,152.75791931152344,153.2532839974842,0.23199999999999998,0.1,0.6407810515304725,0.3592189484695275,6333,47913,0.13217707094108072,125.30105455977622
Jaman North,GHA3.7_2,Bono,jaman north,1035.2868748832643,307.32342529296875,308.9481834670128,28.776269912719727,1087.3653564453125,156.8437042236328,142.7586384,0.145,0.1,0.6882610369349839,0.31173896306501614,14620,116529,0.1254623312651786,112.55720788804499
Jaman South,GHA3.8_2,Bono,jaman south,758.2121652708967,290.8240661621094,276.84735239816246,61.61758804321289,1113.388916015625,111.94306182861328,109.39360147040368,0.156,0.1,0.6908778005814948,0.30912219941850516,13289,109768,0.12106442679105021,144.77214298029855
Sunyani,GHA3.9_2,Bono,sunyani,508.8464826690871,270.52655029296875,272.3937804508657,23.38953399658203,1181.823242,36.49428176879883,22.968051672664636,0.109,0,0.8329894448088735,0.1670105551911265,20755,193595,0.1072083473230197,380.4585598873023
