"district_id","district_name","elevation_std","rainfall_std","travel_time_std","poverty_std","literacy_rate_std","pop_density_std","observed","y_i","psi_i"
1,"Ablekuma Central",-1.58499775840535,-1.50083514035278,-0.83808707026005,-1.34975522616368,1.14395951577988,2.50656555716929,0,NA,NA
2,"Ablekuma North",-1.47517919817181,-1.40465949756705,-0.854607503198261,-1.43139594917417,1.43631369363319,2.00508169885525,0,NA,NA
3,"Ablekuma West",-1.63212884015034,-1.6388564803154,-0.777329099265657,-1.38686464571391,1.37141156255263,2.50110746343951,0,NA,NA
4,"Abuakwa North",0.695857167434871,0.984449930381385,-1.15370632812328,-0.882176539830861,0.977193019721503,0.485146268681178,0,NA,NA
5,"Abuakwa South",1.19369725248426,1.293923766664,-0.81747914198344,-0.481394808688443,0.665282105312494,0.0884229625377082,0,NA,NA
6,"Abura-Asebu-Kwamankese",-0.977409562431757,0.422025282753229,-0.25355602248246,0.0307151811046473,0.16778394839357,0.25132558782031,0,NA,NA
7,"Accra",-1.63233354230528,-1.64635761548284,-0.834440647155035,-1.22358319969292,0.881265551447563,3.40939714727673,0,NA,NA
8,"Achiase",0.00514646098297435,1.577094237457,-0.927224524324138,0.171730975395498,0.246455008977875,-0.306004957027738,0,NA,NA
9,"Ada East",-1.76551245259659,-1.14610286063336,0.115334259689325,0.0455589489247364,0.00508536165414951,0.110176453599556,0,NA,NA
10,"Ada West",-1.62795687896319,-0.939083871108961,-0.0538204500406712,0.928763134220066,-0.304253540086793,0.0379183837408877,0,NA,NA
11,"Adaklu",-1.08480805309384,-0.341263693021993,-0.433063214786217,0.416653144426976,0.0649046878002753,-0.955689567428523,0,NA,NA
12,"Adansi Akrofuom",-0.113070936528337,0.849627633228587,-0.3424730731327,0.698684733008677,-0.0356933475337018,-0.587990058850564,0,NA,NA
13,"Adansi Asokwa",0.18912400929097,0.839593474309056,-0.56213030818903,0.357278073146618,0.0831875027181209,-0.381344644973423,0,NA,NA
14,"Adansi North",1.0160487845338,0.686585148766805,-1.06151505040983,-0.58530118342907,0.734055258807138,-0.0329609079560403,0,NA,NA
15,"Adansi South",-0.43088768782618,1.06086974293312,-0.340909653017087,0.550247054807782,0.152385400009605,-0.427152126042816,0,NA,NA
16,"Adenta",-1.27655370766315,-1.30813400371657,-0.927079021997067,-1.43139594917417,1.43569267687426,1.71703236543062,0,NA,NA
17,"Afadzato South",0.340069884588888,0.625682192730556,-0.883800387287097,0.364699957056662,0.665694410163849,-0.322933288033761,0,NA,NA
18,"Afigya-Kwabre North",1.41990109627696,0.270392585184027,-0.336933049468915,-0.177097568376607,0.318189998211964,0.36099201326901,1,-0.693147180559945,0.1
19,"Afigya-Kwabre South",1.17130918622458,0.500726487566908,-0.482484213512133,-1.08256740540207,1.01230493495252,0.978629510635969,1,-2.21929296843356,0.491982898451404
20,"Agona East",-0.803526429003656,0.219374336547338,-1.12206729565867,-0.125144381006293,0.446849692648412,0.193537693252634,1,-2.50396856035503,0.489206057748753
21,"Agona West",-0.638806643824088,0.760306353877226,-0.997362272840891,-0.488816692598488,0.657934823518268,0.344656914968116,1,-2.84685548448271,0.691556781404302
22,"Agotime Ziope",-1.0168111368945,-0.421259573216069,-0.371177746737104,-0.139988148826383,-0.0154104419905876,-0.356712207610421,0,NA,NA
23,"Ahafo-Ano North",0.634430966140022,0.237059364480697,-0.386291090967576,-0.0806130775460246,0.273945690348007,-0.218547813128524,0,NA,NA
24,"Ahafo-Ano South East",1.12463190996048,0.365392434019131,-0.0294961343440544,0.312746769686349,-0.214472589143863,-0.547648645188865,0,NA,NA
