time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,rainfall_sep_dec,nightlights,temp_sep_dec,elev_std,rainfall_std,ntl_std,temp_std,travel_std,country
1,2010,DHS 2010,1,Bagassi,BFA.1.1.1_1,Boucle du Mouhoun,bagassi,640.855891981585,294.70965576171875,294.42523193359375,148.78228759765625,147.83518981933594,367.2662048339844,0.001197692472487688,9.098124504089355,-0.29020278900945173,1.8451030242966064,-0.13828302048185503,-0.8983600416417299,0.2504069932474441,BFA
2,2021,DHS 2021,1,Bagassi,BFA.1.1.1_1,Boucle du Mouhoun,bagassi,640.855891981585,294.70965576171875,294.42523193359375,148.78228759765625,147.83518981933594,239.00588989257813,0.041056521236896515,9.366874694824219,-0.29020278900945173,0.4070944818801797,0.18944052747168674,0.5845303754040201,0.2504069932474441,BFA
1,2010,DHS 2010,2,Bana,BFA.1.1.2_1,Boucle du Mouhoun,bana,151.95337954691786,365.0789794921875,364.5014953613281,189.65574645996094,190.24656677246094,369.1576232910156,0.11252705007791519,9.098125457763672,1.247611429865478,1.8663089280848324,0.7468348544424251,-0.898354779526377,0.9433751722557113,BFA
2,2021,DHS 2021,2,Bana,BFA.1.1.2_1,Boucle du Mouhoun,bana,151.95337954691786,365.0789794921875,364.5014953613281,189.65574645996094,190.24656677246094,215.0963134765625,0.28639447689056396,9.366874694824219,1.247611429865478,0.13902890643312293,1.965830430099583,0.5845303754040201,0.9433751722557113,BFA
1,2010,DHS 2010,3,Boromo,BFA.1.1.3_1,Boucle du Mouhoun,boromo,966.1485781204175,270.09637451171875,271.44842529296875,150.44740295410156,152.87730407714844,338.67791748046875,0.010660747066140175,9.122477531433105,-0.8280885021704124,1.5245814237829047,-0.05931070121449139,-0.7639866639881032,0.278637340972157,BFA
2,2021,DHS 2021,3,Boromo,BFA.1.1.3_1,Boucle du Mouhoun,boromo,966.1485781204175,270.09637451171875,271.44842529296875,150.44740295410156,152.87730407714844,222.46713256835938,0.03262221813201904,9.36030387878418,-0.8280885021704124,0.2216678803312622,0.12115197807097447,0.5482744006220069,0.278637340972157,BFA
1,2010,DHS 2010,4,Fara,BFA.1.1.4_1,Boucle du Mouhoun,fara,730.5453008648192,274.43682861328125,274.4913635253906,168.78231811523438,169.2926788330078,276.7246398925781,0.0014017821522429585,9.128674507141113,-0.7332344993193557,0.8299835472473452,-0.13657196256052725,-0.7297934384244571,0.5894872940990469,BFA
2,2021,DHS 2021,4,Fara,BFA.1.1.4_1,Boucle du Mouhoun,fara,730.5453008648192,274.43682861328125,274.4913635253906,168.78231811523438,169.2926788330078,212.10800170898438,0.006173121277242899,9.338597297668457,-0.7332344993193557,0.10552502917269367,-0.09666881920437229,0.42850339307289204,0.5894872940990469,BFA
1,2010,DHS 2010,5,Oury,BFA.1.1.5_1,Boucle du Mouhoun,oury,665.5612629304007,291.1259460449219,290.39764404296875,153.1239776611328,152.98707580566406,298.2616271972656,0,9.131595611572266,-0.3685192977756753,1.071448506507761,-0.14833133318376757,-0.7136755790982878,0.3240159595754774,BFA
2,2021,DHS 2021,5,Oury,BFA.1.1.5_1,Boucle du Mouhoun,oury,665.5612629304007,291.1259460449219,290.39764404296875,153.1239776611328,152.98707580566406,187.16184997558594,0.0017800567438825965,9.390750885009766,-0.3685192977756753,-0.1741622560911171,-0.13340148586376874,0.7162726953811581,0.3240159595754774,BFA
