time,year,label,district_id,district_name,district_code,region,name_clean,area_km2,elev_mean_pw,elev_mean_uw,travel_time_pw,travel_time_uw,rainfall_sep_dec,nightlights,temp_sep_dec,elev_std,rainfall_std,ntl_std,temp_std,travel_std,country,poverty_H,mpi_index,literacy_rate,census_pop,census_pop_density,avg_hh_size,households,pop_dens_std,poverty_std
1,2014,DHS 2014,1,Asunafo North,GHA1.1_2,Ahafo,asunafo north,1417.5245785172697,230.9906768798828,231.10789489746097,123.286865234375,124.16492462158205,324.17681884765625,0.03097204305231571,8.709345817565918,0.6389953942996531,-0.10087098921373935,-0.6004585634415182,-0.6625680867149131,0.2639549572582641,GHA,0.262,0.1,0.6908514900687963,151258,106.70573356704392,NA,NA,-0.45926404136453486,-0.10297798518856105
2,2022,DHS 2022,1,Asunafo North,GHA1.1_2,Ahafo,asunafo north,1417.5245785172697,230.9906768798828,231.10789489746097,123.286865234375,124.16492462158205,498.60443115234375,0.15810589492321014,8.790083885192871,0.6389953942996531,0.4268231842389682,-0.4889394037720091,-0.13759036720884202,0.2639549572582641,GHA,0.262,0.1,0.6908514900687963,151258,106.70573356704392,NA,NA,-0.45926404136453486,-0.10297798518856105
1,2014,DHS 2014,2,Asunafo South,GHA1.2_2,Ahafo,asunafo south,927.404248101604,209.552001953125,213.5439910888672,101.25437927246094,106.18099212646484,347.8316955566406,0.01645754650235176,8.704545021057129,0.4112162952533416,-0.029308118816425765,-0.6140561175276554,-0.6937839837146008,-0.04261126545500915,GHA,0.261,0.1,0.6595255230555699,91693,98.87058441633788,NA,NA,-0.507020685381197,-0.11040702962502774
2,2022,DHS 2022,2,Asunafo South,GHA1.2_2,Ahafo,asunafo south,927.404248101604,209.552001953125,213.5439910888672,101.25437927246094,106.18099212646484,573.7142333984375,0.08523442596197128,8.771869659423828,0.4112162952533416,0.6540521446699288,-0.5512663290404407,-0.2560235052297073,-0.04261126545500915,GHA,0.261,0.1,0.6595255230555699,91693,98.87058441633788,NA,NA,-0.507020685381197,-0.11040702962502774
1,2014,DHS 2014,3,Asutifi North,GHA1.3_2,Ahafo,asutifi north,940.1355478956202,256.3790283203125,256.49298095703125,101.65795135498048,101.95581817626952,318.09124755859375,0.2529907524585724,8.610567092895508,0.9087385494680009,-0.1192816093497295,-0.4134185039874036,-1.3048503599641492,-0.03699584969373669,GHA,0.23199999999999998,0.1,0.7004844775929113,73556,78.23978166195951,NA,NA,-0.653334444466144,-0.32584931828256186
2,2022,DHS 2022,3,Asutifi North,GHA1.3_2,Ahafo,asutifi north,940.1355478956202,256.3790283203125,256.49298095703125,101.65795135498048,101.95581817626952,500.54595947265625,0.4510170817375183,8.713536262512207,0.9087385494680009,0.4326968711437267,-0.2726991819729018,-0.6353208377247209,-0.03699584969373669,GHA,0.23199999999999998,0.1,0.7004844775929113,73556,78.23978166195951,NA,NA,-0.653334444466144,-0.32584931828256186
1,2014,DHS 2014,4,Asutifi South,GHA1.4_2,Ahafo,asutifi south,599.7596913577988,200.98391723632813,201.39442443847656,76.958892822265625,77.93331146240234,324.8949890136719,0.05590240284800529,8.679309844970703,0.32018312160749207,-0.09869831593600152,-0.5775439041205405,-0.8578689758696936,-0.38066551511585095,GHA,0.266,0.1,0.6535052235393436,67334,112.26829840391947,NA,NA,-0.42742327146819276,-0.07326180744269427
2,2022,DHS 2022,4,Asutifi South,GHA1.4_2,Ahafo,asutifi south,599.7596913577988,200.98391723632813,201.39442443847656,76.958892822265625,77.93331146240234,506.434326171875,0.34049248695373535,8.732683181762695,0.32018312160749207,0.45051089013575973,-0.3486806042751714,-0.5108231094643454,-0.38066551511585095,GHA,0.266,0.1,0.6535052235393436,67334,112.26829840391947,NA,NA,-0.42742327146819276,-0.07326180744269427
1,2014,DHS 2014,5,Tano North,GHA1.5_2,Ahafo,tano north,841.0711354108049,271.2559509277344,271.4891662597656,57.303585052490234,57.58964538574219,337.7601318359375,0.0515081062912941,8.5706939697265625,1.0668011181517982,-0.05977752341785472,-0.5815433642268588,-1.5641146932094696,-0.6541550101126024,GHA,0.21600000000000003,0.1,0.7261663286004056,93838,111.56963549125562,NA,NA,-0.4313355533511506,-0.44471402926602854
2,2022,DHS 2022,5,Tano North,GHA1.5_2,Ahafo,tano north,841.0711354108049,271.2559509277344,271.4891662597656,57.303585052490234,57.58964538574219,456.0090637207031,0.2657714784145355,8.685652732849121,1.0668011181517982,0.2979598299066798,-0.4036858205848866,-0.8166260416335149,-0.6541550101126024,GHA,0.21600000000000003,0.1,0.7261663286004056,93838,111.56963549125562,NA,NA,-0.4313355533511506,-0.44471402926602854
